user_id,user_name,entity_type,entity_relation_id,password,e_mail,phone_number,mobile_number,user_status,inactive_reason_code,inactive_reason_note,regdate,lastupdate
1,Pytestユーザー更新,1,1,Gd8DWkzr^iSR,pytest_0fw2fnvv@example.com,03-5678-1234,090-0000-9999,1,,,2025-07-17 13:36:24.232939,2025-07-17 13:36:24.253252
2,Pytestユーザー更新,1,1,zUN3weer%%X8,pytest_taxuleoh@example.com,03-5678-1234,090-0000-9999,9,1.0,テスト退会,2025-07-17 13:41:19.373043,2025-07-17 13:41:19.405838
3,Pytestユーザー更新,1,1,^rCBNRQnOVFg,pytest_m25jwo9e@example.com,03-5678-1234,090-0000-9999,9,1.0,テスト退会,2025-07-17 13:42:17.558092,2025-07-17 13:42:17.591076
4,Pytestユーザー更新,1,1,jg1sc*hjOFaI,pytest_qfby3r4w@example.com,03-5678-1234,090-0000-9999,9,1.0,テスト退会,2025-07-17 13:46:55.577410,2025-07-17 13:46:55.607858
5,Pytestユーザー更新,1,1,gyfgCgfZkRHq,pytest_ps0w97yy@example.com,03-5678-1234,090-0000-9999,9,1.0,テスト退会,2025-07-17 13:47:36.974788,2025-07-17 13:47:37.007290
6,Pytestユーザー更新,1,1,xdtIN*^XOOu%,pytest_13jv6lz4@example.com,03-5678-1234,090-0000-9999,9,1.0,テスト退会,2025-07-17 13:52:13.680167,2025-07-17 13:52:13.713377
7,Pytestユーザー更新,1,1,1Dm%tit1CtEV,pytest_569hyjn6@example.com,03-5678-1234,090-0000-9999,9,1.0,テスト退会,2025-07-17 13:55:20.983649,2025-07-17 13:55:21.017355
8,Pytestユーザー更新,1,1,8dXY00tEc9vr,pytest_ds15hfgw@example.com,03-5678-1234,090-0000-9999,9,1.0,テスト退会,2025-07-17 13:56:09.262868,2025-07-17 13:56:09.295929
9,Pytestユーザー更新,1,1,I0@nRJgwENyM,pytest_gruo26vr@example.com,03-5678-1234,090-0000-9999,9,1.0,テスト退会,2025-07-17 17:05:27.171799,2025-07-17 17:05:27.197875
10,Pytestユーザー更新,1,5,QKu@tfMnbKlA,pytest_a7rp4wa1@example.com,03-5678-1234,090-0000-9999,9,1.0,テスト退会,2025-07-17 17:11:24.818192,2025-07-17 17:11:24.853168
11,Pytestユーザー更新,1,1,*Rjj8husrJeb,pytest_4o49qesg@example.com,03-5678-1234,090-0000-9999,9,1.0,テスト退会,2025-07-17 17:12:50.946385,2025-07-17 17:12:50.965161
